codigo_sidra;idade;etapa;faixa_etaria;populacao_censo_2022;matriculas_censo_escolar_2025;observacao
6557;"Menos de 1 ano";Creche;0-3;265;289;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6558;"1 ano";Creche;0-3;207;289;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6559;"2 anos";Creche;0-3;285;289;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6560;"3 anos";Creche;0-3;311;289;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6561;"4 anos";Pré-escola;4-5;278;514;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6562;"5 anos";Pré-escola;4-5;275;514;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6563;"6 anos";"Ensino Fundamental (Anos Iniciais)";6-10;295;1439;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6564;"7 anos";"Ensino Fundamental (Anos Iniciais)";6-10;298;1439;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6565;"8 anos";"Ensino Fundamental (Anos Iniciais)";6-10;308;1439;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6566;"9 anos";"Ensino Fundamental (Anos Iniciais)";6-10;289;1439;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6567;"10 anos";"Ensino Fundamental (Anos Iniciais)";6-10;292;1439;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6568;"11 anos";"Ensino Fundamental (Anos Finais)";11-14;278;1217;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6569;"12 anos";"Ensino Fundamental (Anos Finais)";11-14;320;1217;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6570;"13 anos";"Ensino Fundamental (Anos Finais)";11-14;312;1217;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6571;"14 anos";"Ensino Fundamental (Anos Finais)";11-14;277;1217;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6572;"15 anos";"Ensino Médio";15-17;288;747;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6573;"16 anos";"Ensino Médio";15-17;273;747;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
6574;"17 anos";"Ensino Médio";15-17;256;747;"matrículas agregadas da faixa (etapa) no Censo Escolar 2025"
