secao,indicador,ano,valor
IDEB_Anos_Iniciais,nota,2017,6.1
IDEB_Anos_Iniciais,meta,2017,5.4
IDEB_Anos_Iniciais,nota,2019,6.3
IDEB_Anos_Iniciais,meta,2019,5.7
IDEB_Anos_Iniciais,nota,2021,5.8
IDEB_Anos_Iniciais,meta,2021,6
IDEB_Anos_Iniciais,nota,2023,6
IDEB_Anos_Iniciais,meta,2023,6.2
IDEB_Anos_Finais,nota,2017,4.8
IDEB_Anos_Finais,meta,2017,4.7
IDEB_Anos_Finais,nota,2019,5
IDEB_Anos_Finais,meta,2019,5
IDEB_Anos_Finais,nota,2021,4.9
IDEB_Anos_Finais,meta,2021,5.3
IDEB_Anos_Finais,nota,2023,5.1
IDEB_Anos_Finais,meta,2023,5.5
Fluxo_Docencia,distorcao_idade_serie_anos_iniciais,,7.8
Fluxo_Docencia,distorcao_idade_serie_anos_finais,,16.4
Fluxo_Docencia,adequacao_formacao_docente_grupo1,,74.5
Fluxo_Docencia,media_alunos_turma_creche,,15.2
Fluxo_Docencia,media_alunos_turma_pre_escola,,21.8
Fluxo_Docencia,media_alunos_turma_fundamental_anos_iniciais,,24.5
Fluxo_Docencia,media_alunos_turma_fundamental_anos_finais,,28.3
Infraestrutura,com_refeitorio_alimentacao_pct,,91.7
Infraestrutura,com_internet_banda_larga_pct,,83.3
Infraestrutura,com_biblioteca_sala_leitura_pct,,58.3
Infraestrutura,com_parque_infantil_ludico_pct,,41.7
Infraestrutura,com_acessibilidade_pcd_pct,,50
Infraestrutura,com_bercario_lactario_creche_pct,,25
Infraestrutura,total_unidades_avaliadas,,12
