ano;creche_municipal;creche_privada;creche_total;pre_escola_municipal;pre_escola_privada;pre_escola_total;escolas_creche_municipal;escolas_pre_escola_municipal
2008;121;0;121;184;29;213;1;3
2009;70;0;70;205;10;215;1;3
2010;15;0;15;266;37;303;1;4
2011;0;0;0;264;1;265;0;3
2012;0;0;0;359;31;390;0;2
2013;61;8;69;444;24;468;1;3
2014;89;5;94;477;8;485;1;3
2015;96;0;96;480;0;480;1;4
2016;128;0;128;465;0;465;2;4
2017;132;0;132;494;0;494;2;4
2018;249;6;255;408;10;418;2;4
2019;220;0;220;456;14;470;3;3
2020;229;4;233;456;18;474;4;4
2021;177;0;177;420;8;428;3;4
2022;237;3;240;437;22;459;5;4
2023;281;1;282;481;14;495;5;6
2024;255;5;260;521;25;546;5;7
2025;289;0;289;514;0;514;6;8
